from_key,to_uri,label
researchgraph.org/ands/632302,researchgraph.org/ands/673955,knownAs
researchgraph.org/ands/267237,researchgraph.org/ands/616510,knownAs
researchgraph.org/ands/499300,researchgraph.org/ands/562162,knownAs
researchgraph.org/ands/512023,researchgraph.org/ands/562166,knownAs
researchgraph.org/ands/952606,researchgraph.org/ands/954352,knownAs
researchgraph.org/ands/700548,researchgraph.org/ands/684888,knownAs
researchgraph.org/ands/945985,researchgraph.org/ands/933848,knownAs
researchgraph.org/ands/681964,researchgraph.org/ands/678010,knownAs
researchgraph.org/ands/693556,researchgraph.org/ands/475429,knownAs
researchgraph.org/ands/693556,researchgraph.org/ands/677070,knownAs
researchgraph.org/ands/960958,researchgraph.org/ands/955039,knownAs
researchgraph.org/ands/699289,researchgraph.org/ands/687271,knownAs
researchgraph.org/ands/967027,researchgraph.org/ands/966643,knownAs
researchgraph.org/ands/679047,researchgraph.org/ands/960004,knownAs
researchgraph.org/ands/679047,researchgraph.org/ands/676122,knownAs
researchgraph.org/ands/697012,researchgraph.org/ands/476808,knownAs
researchgraph.org/ands/1329924,researchgraph.org/ands/1330092,knownAs
researchgraph.org/ands/680847,researchgraph.org/ands/677184,knownAs
researchgraph.org/ands/701910,researchgraph.org/ands/687665,knownAs
researchgraph.org/ands/681972,researchgraph.org/ands/960730,knownAs
researchgraph.org/ands/681972,researchgraph.org/ands/677081,knownAs
researchgraph.org/ands/698797,researchgraph.org/ands/686850,knownAs
researchgraph.org/ands/692650,researchgraph.org/ands/476787,knownAs
researchgraph.org/ands/692650,researchgraph.org/ands/675929,knownAs
researchgraph.org/ands/679161,researchgraph.org/ands/677432,knownAs
researchgraph.org/ands/698757,researchgraph.org/ands/686811,knownAs
researchgraph.org/ands/1329913,researchgraph.org/ands/1330095,knownAs
researchgraph.org/ands/691281,researchgraph.org/ands/960313,knownAs
researchgraph.org/ands/691281,researchgraph.org/ands/677037,knownAs
researchgraph.org/ands/476383,researchgraph.org/ands/697203,knownAs
researchgraph.org/ands/700187,researchgraph.org/ands/685737,knownAs
researchgraph.org/ands/476458,researchgraph.org/ands/695752,knownAs
researchgraph.org/ands/692062,researchgraph.org/ands/675847,knownAs
researchgraph.org/ands/476645,researchgraph.org/ands/692320,knownAs
researchgraph.org/ands/701465,researchgraph.org/ands/685343,knownAs
researchgraph.org/ands/563922,researchgraph.org/ands/686173,knownAs
researchgraph.org/ands/700419,researchgraph.org/ands/684639,knownAs
researchgraph.org/ands/1296769,researchgraph.org/ands/688489,knownAs
researchgraph.org/ands/945691,researchgraph.org/ands/934367,knownAs
researchgraph.org/ands/685697,researchgraph.org/ands/563909,knownAs
researchgraph.org/ands/681657,researchgraph.org/ands/676675,knownAs
researchgraph.org/ands/814997,researchgraph.org/ands/815061,knownAs
researchgraph.org/ands/680728,researchgraph.org/ands/677771,knownAs
researchgraph.org/ands/961246,researchgraph.org/ands/955006,knownAs
researchgraph.org/ands/691860,researchgraph.org/ands/960856,knownAs
researchgraph.org/ands/691860,researchgraph.org/ands/677119,knownAs
researchgraph.org/ands/681447,researchgraph.org/ands/960793,knownAs
researchgraph.org/ands/681447,researchgraph.org/ands/677169,knownAs
researchgraph.org/ands/701688,researchgraph.org/ands/687726,knownAs
researchgraph.org/ands/476860,researchgraph.org/ands/692265,knownAs
researchgraph.org/ands/696438,researchgraph.org/ands/677337,knownAs
researchgraph.org/ands/693186,researchgraph.org/ands/677582,knownAs
researchgraph.org/ands/954916,researchgraph.org/ands/961258,knownAs
researchgraph.org/ands/475244,researchgraph.org/ands/697266,knownAs
researchgraph.org/ands/701291,researchgraph.org/ands/685296,knownAs
researchgraph.org/ands/476617,researchgraph.org/ands/697650,knownAs
researchgraph.org/ands/678994,researchgraph.org/ands/676061,knownAs
researchgraph.org/ands/698272,researchgraph.org/ands/474914,knownAs
researchgraph.org/ands/698272,researchgraph.org/ands/676619,knownAs
researchgraph.org/ands/697821,researchgraph.org/ands/475703,knownAs
researchgraph.org/ands/697821,researchgraph.org/ands/676077,knownAs
researchgraph.org/ands/680623,researchgraph.org/ands/677662,knownAs
researchgraph.org/ands/474511,researchgraph.org/ands/693453,knownAs
researchgraph.org/ands/685763,researchgraph.org/ands/564193,knownAs
researchgraph.org/ands/700895,researchgraph.org/ands/685129,knownAs
researchgraph.org/ands/700858,researchgraph.org/ands/685060,knownAs
researchgraph.org/ands/691303,researchgraph.org/ands/678029,knownAs
researchgraph.org/ands/680978,researchgraph.org/ands/676718,knownAs
